person,ok,byte_errors
Aaron_Peirsol,1,27
Aaron_Sorkin,0,29
Abdel_Nasser_Assidi,0,30
Abdoulaye_Wade,1,28
Abdullah,0,30
Abdullah_al-Attiyah,0,30
Abdullatif_Sener,0,29
Abel_Pacheco,0,30
Abid_Hamid_Mahmud_Al-Tikriti,0,31
Adam_Sandler,0,29
Adam_Scott,0,32
Adel_Al-Jubeir,0,29
Adolfo_Aguilar_Zinser,0,31
Adolfo_Rodriguez_Saa,0,31
Adrian_McPherson,0,29
Adrian_Nastase,0,29
Ahmad_Masood,0,31
Ahmet_Necdet_Sezer,1,27
Aicha_El_Ouafi,0,32
Aitor_Gonzalez,0,30
Akbar_Hashemi_Rafsanjani,1,27
Akhmed_Zakayev,0,30
Al_Davis,0,31
Al_Pacino,0,30
Alan_Ball,1,25
Alan_Mulally,0,31
Alberto_Fujimori,0,31
Alberto_Ruiz_Gallardon,0,29
Albrecht_Mentz,1,28
Aldo_Paredes,0,31
Alec_Baldwin,1,28
Alejandro_Atchugarry,0,30
Alejandro_Avila,0,31
Aleksander_Kwasniewski,0,29
Alex_Barros,0,31
Alex_Penelas,1,26
Alex_Sink,1,27
Alexander_Downer,0,31
Alexander_Losyukov,1,28
Alexander_Rumyantsev,1,28
Alexandra_Stevenson,0,30
Alexandra_Vodjanikova,0,31
Ali_Abbas,0,30
Ali_Khamenei,1,28
Alice_Fisher,1,28
Alicia_Silverstone,0,32
Alimzhan_Tokhtakhounov,1,27
Alison_Lohman,0,29
Allen_Iverson,0,30
Allison_Janney,0,30
Alvaro_Noboa,0,32
Alvaro_Silva_Calderon,0,29
Amanda_Beard,0,31
Amanda_Bynes,0,31
Amanda_Coetzer,0,31
Amber_Tamblyn,0,32
Amer_al-Saadi,0,32
Amram_Mitzna,0,30
Anastasia_Myskina,0,29
Anders_Ebbeson,0,29
Anders_Fogh_Rasmussen,0,29
Andrei_Mikhnevich,1,26
Andrew_Bunner,0,31
Andrew_Cuomo,0,29
Andrew_Niccol,1,27
Andrew_Weissmann,1,27
Andy_Hebb,0,30
Angela_Lansbury,0,32
Angelo_Reyes,0,29
Anibal_Ibarra,1,27
Anna_Nicole_Smith,0,32
Anne_Krueger,1,27
Anne_McLellan,0,31
Anneli_Jaatteenmaki,0,32
Annette_Bening,1,26
Annette_Lu,0,29
Anthony_Fauci,0,30
Anthony_Hopkins,0,30
Anthony_LaPaglia,0,29
Antonio_Trillanes,0,29
Antony_Leung,1,28
Anwar_Ibrahim,0,30
Arantxa_Sanchez-Vicario,0,30
Arianna_Huffington,0,29
Arlen_Specter,0,30
Arnaud_Clement,0,30
Arnold_Palmer,0,29
Aron_Ralston,0,32
Arsinee_Khanjian,0,31
Art_Hoffmann,1,28
Art_Howe,0,29
Arturo_Gatti,1,28
Arye_Mekel,1,24
Asa_Hutchinson,0,29
Ashton_Kutcher,0,30
Augustin_Calleri,0,29
Augusto_Pinochet,1,26
Augusto_Roa_Bastos,0,30
Aung_San_Suu_Kyi,0,30
Azra_Akin,1,22
Barbara_Brezigar,0,30
Barbara_Walters,0,30
Barbra_Streisand,0,30
Barrett_Jackman,1,24
Barry_Alvarez,0,29
Barry_Zito,0,30
Bashar_Assad,0,29
Begum_Khaleda_Zia,0,29
Ben_Curtis,0,30
Ben_Glisan,0,29
Ben_Howland,1,27
Bernard_Landry,0,30
Bernard_Lord,1,28
Bernardo_Segura,0,32
Bertrand_Bonello,0,30
Beth_Jones,0,31
Betsy_Smith,0,30
Bijan_Darvish,1,27
Bijan_Namdar_Zangeneh,1,25
Biljana_Plavsic,1,24
Bill_Belichick,1,28
Bill_Callahan,0,30
Bill_Nelson,0,29
Bill_Parcells,0,30
Bill_Paxton,0,30
Bill_Sizemore,0,32
Billy_Graham,0,30
Billy_Sollie,1,25
Blythe_Danner,0,30
Blythe_Hartley,0,32
Bo_Pelini,0,31
Bo_Ryan,0,29
Bob_Beauprez,1,28
Bob_Colvin,1,26
Bob_Dole,0,30
Bob_Geldof,0,29
Bob_Huggins,0,32
Bobby_Goldwater,0,29
Bobby_Robson,0,30
Bode_Miller,0,30
Bono,1,28
Boris_Berezovsky,0,29
Boris_Yeltsin,1,27
Brad_Garrett,0,30
Branko_Crvenkovski,1,26
Brendan_Hansen,0,31
Brian_Cowen,1,27
Brian_Griese,1,27
Brian_Heidik,0,30
Brian_Mulroney,0,29
Brian_Wells,0,31
Bridget_Fonda,0,32
Bridgette_Wilson-Sampras,0,32
Brigitte_Boisselier,1,26
Brooke_Shields,0,30
Bruce_Springsteen,0,31
Bruce_Van_De_Velde,0,29
Bruce_Weber,0,30
Bud_Selig,0,30
Butch_Davis,0,29
Byron_Scott,0,31
Camilla_Parker_Bowles,0,30
Candice_Bergen,0,30
Candie_Kung,0,31
Carl_Reiner,1,27
Carla_Myers,0,29
Carlo_Ancelotti,0,30
Carlos_Bianchi,0,30
Carlos_Ghosn,0,29
Carlos_Manuel_Pruneda,1,28
Carlos_Mesa,0,30
Carlos_Ortega,0,31
Carlos_Quintanilla_Schmidt,0,32
Carlos_Ruiz,0,30
Carlos_Vives,1,25
Carly_Fiorina,0,31
Carol_Burnett,1,25
Carol_Moseley_Braun,0,32
Carolina_Kluft,0,30
Carolina_Moraes,0,32
Caroline_Kennedy,1,24
Carolyn_Dawn_Johnson,1,24
Carson_Daly,0,32
Carson_Palmer,1,28
Cate_Blanchett,0,30
Cathy_Freeman,0,30
Cecilia_Bolocco,0,30
Celso_Amorim,0,32
Cesar_Maia,0,32
Chakib_Khelil,0,29
Chan_Gailey,0,31
Chang_Dae-whan,1,28
Charles_Bronson,0,32
Charles_Grassley,0,30
Charles_Kartman,1,28
Charles_Mathews,1,27
Charles_Schumer,0,31
Charlie_Zaa,0,29
Charlotte_Rampling,0,32
Chen_Liang_Yu,0,32
Cherie_Blair,0,31
Chick_Hearn,1,24
Chita_Rivera,1,26
Chok_Tong_Goh,1,25
Chris_Bell,1,28
Chris_Byrd,0,30
Chris_Cooper,0,30
Chris_Rock,1,27
Chris_Tucker,0,32
Christian_Fittipaldi,0,31
Christian_Longo,0,31
Christian_Wulff,1,28
Christina_Aguilera,0,30
Christine_Ebersole,1,28
Christine_Gregoire,1,27
Christopher_Patten,0,30
Christopher_Reeve,0,31
Christopher_Walken,1,25
Chuck_Amato,1,27
Chuck_Yeager,1,26
Chung_Mong-hun,0,32
Chung_Mong-joon,0,32
Cindy_Crawford,0,29
Cindy_Margolis,1,28
Claire_Danes,0,31
Claire_Hentzen,1,27
Claire_Leger,1,28
Clare_Short,0,32
Claudia_Schiffer,1,27
Colin_Jackson,0,30
Conan_OBrien,0,30
Conchita_Martinez,1,28
Constance_Marie,0,30
Coretta_Scott_King,1,26
Corinne_Coman,1,28
Courtney_Love,0,31
Cristina_Fernandez,0,32
Cristina_Saralegui,0,31
Cyndi_Thompson,1,28
Dai_Bachtiar,0,31
Daisy_Fuentes,0,31
Dalai_Lama,1,23
Dale_Earnhardt_Jr,1,27
Damon_van_Dam,0,29
Dan_Morales,0,31
Dan_Wheldon,0,31
Daniel_Day-Lewis,0,30
Daniel_Radcliffe,0,31
Daniela_Hantuchova,0,29
Darrell_Issa,0,29
Darrell_Porter,0,30
Darren_Clarke,0,32
Daryl_Hannah,0,29
Dave_Campo,0,31
David_Bell,0,32
David_Caraway,1,28
David_Caruso,1,28
David_Coulthard,0,29
David_Dodge,0,32
David_Heyman,1,28
David_Hyde_Pierce,0,32
David_Kelley,0,31
David_Leahy,0,32
David_Myers,1,26
David_Spade,1,28
David_Stern,0,30
David_Wells,1,27
David_Wolf,1,28
Dean_Barkley,0,32
Debbie_Reynolds,1,23
Debra_Brown,0,30
Debra_Messing,0,32
Demetrius_Ferraciu,0,32
Demi_Moore,0,30
Denise_Johnson,0,32
Dennis_Erickson,0,31
Dennis_Kozlowski,0,29
Dennis_Powell,0,29
Derek_Jeter,1,28
Derek_Lowe,1,26
Desiree_Lemosi,0,31
Dexter_Jackson,0,31
Diana_Munz,1,26
Diana_Taurasi,1,27
Diane_Green,0,32
Dianne_Feinstein,1,27
Dick_Clark,0,30
Dick_Latessa,0,31
Dick_Vermeil,0,31
Dino_de_Laurentis,0,30
Dolly_Parton,1,23
Dolma_Tsering,0,30
Dominik_Garcia-Lorido,0,32
Don_Nickles,0,32
Don_Siegelman,1,27
Donald_Evans,0,31
Donald_Fehr,1,28
Donald_Pettit,0,31
Donatella_Versace,0,31
Donna_Shalala,1,28
Doris_Roberts,1,28
Doris_Schroeder,1,26
Dorthy_Moxley,1,27
Doug_Duncan,1,28
Doug_Melvin,1,28
Drew_Barrymore,0,30
Duane_Lee_Chapman,0,29
Dwayne_Johnson,1,25
Ed_Rosenthal,0,31
Ed_Smart,0,32
Eddie_Sutton,1,28
Eddy_Merckx,1,24
Edie_Falco,0,32
Edmund_Hillary,0,32
Edward_James_Olmos,0,30
Edward_Kennedy,0,29
Edward_Norton,0,31
Edward_Said,0,31
Edwin_Edwards,0,32
Edwina_Currie,1,25
Eileen_Coparropa,1,27
Elena_Bovina,0,30
Eliane_Karp,0,30
Elijah_Wood,0,30
Elin_Nordegren,0,30
Elinor_Caplan,0,31
Elisabeth_Schumacher,0,32
Elizabeth_Dole,0,32
Elizabeth_Shue,0,31
Elizabeth_Taylor,1,28
Ellen_DeGeneres,0,30
Ellen_Engleman,0,29
Elvis_Presley,0,31
Emile_Lahoud,1,28
Emily_Robison,0,32
Emma_Thompson,0,30
Emmanuelle_Beart,0,30
Emmit_Smith,1,28
Eric_Clapton,0,32
Eric_Hinske,0,31
Eric_Robert_Rudolph,0,29
Eric_Rosser,1,27
Erik_Morales,0,30
Erika_Christensen,0,31
Erin_Runnion,1,28
Ernesto_Zedillo,0,31
Ernie_Els,0,31
Ernie_Eves,1,28
Ernie_Fletcher,1,28
Ethan_Hawke,0,29
Eunice_Barber,0,30
Eva_Dimas,0,31
Evan_Rachel_Wood,0,31
Evander_Holyfield,0,29
Eve_Pelletier,0,29
Fabiola_Zuluaga,0,31
Fabrice_Santoro,0,32
Farouk_al-Sharaa,0,29
Faye_Dunaway,1,28
Fayssal_Mekdad,1,28
Federico_Trillo,0,30
Felipe_Perez_Roque,1,28
Felix_Mantilla,0,30
Ferenc_Madl,0,31
Fernando_Vargas,0,30
Filippo_Inzaghi,1,27
Flavia_Delaroli,0,30
Flor_Montulo,0,31
Fran_Drescher,0,29
Frances_Fisher,0,31
Francis_Ford_Coppola,0,30
Francis_George,0,29
Francis_Mer,0,29
Francisco_Flores,1,28
Franco_Dragone,0,31
Frank_Cassell,0,31
Frank_Dunham_Jr,0,30
Frank_Griswold,1,26
Frank_Lautenberg,0,30
Frank_Stallone,0,29
Franko_Simatovic,0,32
Franz_Beckenbauer,0,30
Franz_Fischler,1,27
Franz_Muentefering,0,31
Fred_Eckhard,1,27
Fred_Funk,0,31
Fred_Thompson,0,31
Freddy_Garcia,0,31
GL_Peiris,1,26
Gabriel_Batistuta,0,30
Gabriel_Valdes,0,29
Gao_Qiang,1,24
Garry_Kasparov,1,26
Garry_Trudeau,0,29
Gary_Bergeron,0,31
Gary_Carter,0,29
Gary_Doer,0,30
Gary_Forsee,0,32
Gary_Locke,0,29
Gary_Williams,0,30
Gary_Winnick,1,27
George_Brumley,0,32
George_Foreman,0,30
George_Galloway,0,30
George_Karl,0,30
George_P_Bush,0,30
George_Papandreou,0,31
George_Roy_Hill,1,26
George_Ryan,1,24
George_Tenet,0,31
George_Voinovich,0,30
Georgi_Parvanov,0,29
Geraldine_Chaplin,0,31
Gerard_Depardieu,1,20
Gerardo_Gambala,0,30
Gerry_Parsky,1,26
Gian_Marco,0,29
Gianna_Angelopoulos-Daskalaki,0,29
Gilberto_Rodriguez_Orejuela,1,27
Gillian_Anderson,0,32
Gisele_Bundchen,0,30
Giuseppe_Gibilisco,0,30
Glafcos_Clerides,0,29
Gloria_Allred,0,29
Gloria_Trevi,0,32
Goh_Kun,1,28
Goran_Persson,1,27
Gordon_Campbell,0,29
Grady_Irvin_Jr,0,31
Greg_Gilbert,0,29
Greg_Ostertag,0,32
Greg_Owen,1,27
Greg_Rusedski,0,32
Gregory_Geoffroy,0,30
Gregory_Hines,0,31
Gro_Harlem_Brundtland,0,30
Guido_Westerwelle,0,30
Guillaume_Soro,0,30
Guillermo_Canas,0,30
Guillermo_Ortiz,0,30
Gus_Van_Sant,1,28
Gustavo_Kuerten,1,26
Guy_Hemmings,0,30
Guy_Ritchie,0,30
Gwendal_Peizerat,0,30
Hal_Sutton,0,31
Hamzah_Haz,0,29
Hanan_Ashrawi,1,28
Hannah_Stockbauer,1,25
Hans_Eichel,1,27
Harbhajan_Singh,0,29
Harry_Belafonte,0,29
Harry_Kalas,0,32
Harry_Schmidt,0,29
Harvey_Weinstein,1,28
Hashim_Thaci,0,30
Hassan_Nasrallah,0,29
Hassan_Wirajuda,0,30
Hayley_Tullett,0,30
Heath_Ledger,0,30
Heather_Mills,0,32
Hector_Babenco,0,32
Hee-Won_Han,0,31
Heidi_Fleiss,0,32
Heinz_Feldmann,1,25
Helen_Clark,0,32
Henrique_Meirelles,0,31
Herb_Sendek,1,22
Hermann_Maier,0,29
Herta_Daeubler-Gmelin,0,29
Hichiro_Naemura,1,28
Hideki_Matsui,0,32
Hilary_Duff,0,29
Hilmi_Ozkok,1,27
Hipolito_Mejia,0,31
Hisao_Oguchi,1,28
Hootie_Johnson,1,28
Horst_Koehler,0,29
Howard_Schultz,0,30
Howard_Smith,0,31
Hun_Sen,0,31
Iain_Duncan_Smith,0,32
Ian_McKellen,1,26
Iban_Mayo,0,31
Ibrahim_Jaafari,1,28
Ilan_Ramon,0,31
Imad_Moustapha,1,25
Inam-ul-Haq,1,28
Inocencio_Arias,0,29
Intisar_Ajouri,1,26
Isabella_Rossellini,0,31
Isabelle_Huppert,0,30
Isaiah_Washington,0,30
Ishaq_Shahryar,0,30
Ismail_Merchant,0,32
Iva_Majoli,0,29
JJ_Redick,0,30
Jack_Grubman,1,21
Jack_Nicholson,0,32
Jacqueline_Obradors,1,24
Jada_Pinkett_Smith,0,32
James_Butts,0,29
James_Caan,0,29
James_Cameron,0,30
James_Cunningham,0,30
James_Franco,1,26
James_Gandolfini,0,31
James_Ivory,1,26
James_Jones,0,32
James_Kopp,0,30
James_Maguire,0,31
James_McGreevey,0,31
James_Morris,1,27
James_Parker,1,28
James_Schultz,0,31
James_Smith,0,29
James_Traficant,1,28
Jamie_Villafane,1,27
Jamling_Norgay,0,31
Jan-Michael_Gambill,0,30
Jane_Fonda,0,32
Jane_Kaczmarek,0,29
Jane_Pauley,0,31
Janet_Napolitano,1,27
Janet_Thorpe,1,27
Janica_Kostelic,0,31
Jason_Alexander,0,30
Jason_Jennings,1,22
Jason_Lezak,1,23
Javier_Weber,0,30
Jay_Leno,0,29
Jay_Rasulo,0,29
Jayson_Williams,0,30
Jean-Claude_Braquet,1,26
Jean-Claude_Juncker,0,31
Jean-Claude_Trichet,0,31
Jean-Francois_Pontal,1,26
Jean-Marc_de_La_Sabliere,0,30
Jean-Sebastien_Giguere,0,31
Jean_Brumley,1,28
Jean_Carnahan,0,31
Jeanne_Moreau,0,30
Jeff_Van_Gundy,1,27
Jefferson_Perez,0,31
Jeffrey_Archer,0,29
Jeffrey_Immelt,1,27
Jeffrey_Jones,1,27
Jeffrey_Scott_Postell,1,20
Jennifer_Connelly,0,30
Jennifer_Keller,0,31
Jennifer_Reilly,1,25
Jennifer_Rodriguez,0,32
Jennifer_Thompson,1,27
Jeremy_Shockey,1,25
Jerry_Falwell,0,31
Jerry_Regier,0,32
Jerry_Springer,0,30
Jesse_Harris,1,23
Jesse_James_Leija,1,28
Jesse_Ventura,0,30
Jessica_Alba,1,28
Jessica_Lange,0,31
Jessica_Lynch,0,29
Jia_Qinglin,0,31
Jim_Carrey,0,32
Jim_Edmonds,0,31
Jim_Hahn,0,31
Jim_Harrick,1,28
Jim_OBrien,0,32
Jim_Tressel,0,30
