person_a,person_b,ok,byte_errors
Natalie_Coughlin,Albert_Costa,0,32
Carlos_Menem,Mohammad_Khatami,0,32
Vicente_Fox,Steve_Nash,0,32
Ralf_Schumacher,Wayne_Ferreira,0,32
Susan_Sarandon,Justine_Pasek,0,31
Liza_Minnelli,Amelie_Mauresmo,0,31
Russell_Simmons,Angela_Bassett,0,32
Oswaldo_Paya,Lance_Armstrong,0,32
Michael_Powell,Silvan_Shalom,0,32
Venus_Williams,Jennifer_Garner,0,32
Jeb_Bush,Jeremy_Greenstock,0,32
David_Anderson,Paula_Radcliffe,0,32
Javier_Solana,Anna_Kournikova,0,31
Li_Zhaoxing,Hugo_Chavez,0,32
Costas_Simitis,Alvaro_Uribe,0,32
Jacques_Rogge,Gonzalo_Sanchez_de_Lozada,0,32
Boris_Becker,Elton_John,0,31
Yao_Ming,George_Robertson,0,32
Cesar_Gaviria,Ricardo_Lagos,0,31
Joan_Laporta,John_McCain,0,32
Jose_Manuel_Durao_Barroso,Richard_Gephardt,0,32
Donald_Rumsfeld,Naomi_Watts,0,32
Javier_Solana,Luis_Horna,0,32
Christine_Todd_Whitman,Angelina_Jolie,0,32
Michael_Schumacher,John_Allen_Muhammad,0,32
Andre_Agassi,Pedro_Almodovar,0,32
Clara_Harris,David_Heymann,0,32
Yoko_Ono,Kristanna_Loken,0,32
Jesse_Jackson,Holly_Hunter,0,32
Robert_Kocharian,John_Negroponte,0,32
Yasser_Arafat,Tom_Ridge,0,32
Heidi_Klum,James_Kelly,0,32
Li_Zhaoxing,Kofi_Annan,0,32
Justine_Pasek,Michael_Powell,0,32
David_Trimble,Tom_Hanks,0,32
Guillermo_Coria,Michael_Chiklis,0,32
Christine_Todd_Whitman,Elizabeth_Smart,0,32
David_Anderson,Bill_Graham,0,32
Sergio_Vieira_De_Mello,Paul_Wolfowitz,0,32
Jackie_Chan,Maria_Soledad_Alvear_Valenzuela,0,31
Sophia_Loren,Benazir_Bhutto,0,32
Paul_Wolfowitz,Enrique_Bolanos,0,32
Rainer_Schuettler,Rob_Marshall,0,32
Martin_Scorsese,Joan_Laporta,0,32
Martina_McBride,Marco_Antonio_Barrera,0,32
Woody_Allen,Mahathir_Mohamad,0,32
Woody_Allen,Roger_Moore,0,31
Bill_Frist,Gwyneth_Paltrow,0,31
Jeremy_Greenstock,Jake_Gyllenhaal,0,32
Jonathan_Edwards,Ludivine_Sagnier,0,32
Martha_Stewart,Sergey_Lavrov,0,32
Monica_Seles,Tom_Ridge,0,32
Jay_Garner,Julianne_Moore,0,32
Gunter_Pleuger,Thaksin_Shinawatra,0,32
Gloria_Macapagal_Arroyo,Bob_Graham,0,32
Saddam_Hussein,Martin_McGuinness,0,32
Grant_Hackett,Marcelo_Rios,0,31
Tom_Cruise,Mike_Myers,0,32
Luiz_Inacio_Lula_da_Silva,Bill_Clinton,0,32
Paul_ONeill,Guillermo_Coria,0,32
Costas_Simitis,Tung_Chee-hwa,0,32
Paul_ONeill,Bill_Simon,0,32
Tim_Henman,John_Travolta,0,32
Guillermo_Coria,Gonzalo_Sanchez_de_Lozada,0,32
Ana_Guevara,Jean-David_Levitte,0,32
Joe_Lieberman,Jacques_Rogge,0,32
Jonathan_Edwards,John_Snow,0,32
George_Robertson,Joschka_Fischer,0,32
Billy_Crystal,Marcelo_Rios,0,31
Serena_Williams,George_HW_Bush,0,32
Yoko_Ono,Jimmy_Carter,0,32
Chen_Shui-bian,Lucio_Gutierrez,0,32
James_Wolfensohn,Carlos_Menem,0,32
Pedro_Almodovar,Gerry_Adams,0,31
George_W_Bush,Clara_Harris,0,32
Arnoldo_Aleman,Scott_Peterson,0,32
Celine_Dion,Jose_Serra,0,32
Larry_Brown,Lance_Bass,0,31
Ricardo_Sanchez,Roman_Polanski,0,31
Michelle_Kwan,Richard_Gephardt,0,32
Jean-David_Levitte,Robert_De_Niro,0,32
Bernard_Law,Luiz_Inacio_Lula_da_Silva,0,32
Anna_Kournikova,Hugo_Chavez,0,32
Michael_Chiklis,Monica_Seles,0,32
Valery_Giscard_dEstaing,Michael_Bloomberg,0,32
Boris_Becker,Jennifer_Garner,0,32
Meryl_Streep,Carla_Del_Ponte,0,31
Vincent_Brooks,Pierce_Brosnan,0,32
Victoria_Clarke,Martin_McGuinness,0,32
Ron_Dittemore,Rick_Perry,0,32
LeBron_James,Pedro_Almodovar,0,32
Eduardo_Duhalde,Larry_Brown,0,32
Keanu_Reeves,David_Heymann,0,32
Thaksin_Shinawatra,Michael_Bloomberg,0,32
Benazir_Bhutto,Oswaldo_Paya,0,32
Walter_Mondale,Gordon_Brown,0,32
Carrie-Anne_Moss,Emanuel_Ginobili,0,32
Joschka_Fischer,Mohammad_Khatami,0,32
Jeong_Se-hyun,Geoff_Hoon,0,32
Gerhard_Schroeder,Thaksin_Shinawatra,0,32
Dennis_Hastert,William_Macy,0,32
Tom_Harkin,Igor_Ivanov,0,32
Ana_Guevara,Bill_Frist,0,32
Carrie-Anne_Moss,Prince_Charles,0,32
Jon_Gruden,Arnold_Schwarzenegger,0,32
Paradorn_Srichaphan,Allyson_Felix,0,31
Kim_Ryong-sung,Taha_Yassin_Ramadan,0,32
Justin_Timberlake,Ariel_Sharon,0,32
Rainer_Schuettler,Fernando_Gonzalez,0,30
Luis_Ernesto_Derbez_Bautista,Mark_Hurlbert,0,32
Joseph_Biden,Mark_Philippoussis,0,31
Kristanna_Loken,Mark_Hurlbert,0,32
Elizabeth_Smart,Abdullah_Gul,0,31
Ludivine_Sagnier,Fidel_Castro,0,32
Bill_Gates,George_Clooney,0,32
Mick_Jagger,Hitomi_Soga,0,32
John_Allen_Muhammad,David_Heymann,0,32
Luis_Ernesto_Derbez_Bautista,Dominique_de_Villepin,0,32
Lucy_Liu,Joe_Lieberman,0,32
