theta,person,ok
0,Abdullah_Gul,0
2,Abdullah_Gul,0
4,Abdullah_Gul,0
6,Abdullah_Gul,0
8,Abdullah_Gul,0
10,Abdullah_Gul,0
12,Abdullah_Gul,0
14,Abdullah_Gul,0
16,Abdullah_Gul,0
18,Abdullah_Gul,0
20,Abdullah_Gul,0
22,Abdullah_Gul,0
24,Abdullah_Gul,0
26,Abdullah_Gul,0
28,Abdullah_Gul,0
30,Abdullah_Gul,0
32,Abdullah_Gul,0
34,Abdullah_Gul,0
36,Abdullah_Gul,0
38,Abdullah_Gul,0
40,Abdullah_Gul,0
0,Adrien_Brody,0
2,Adrien_Brody,0
4,Adrien_Brody,0
6,Adrien_Brody,0
8,Adrien_Brody,0
10,Adrien_Brody,0
12,Adrien_Brody,0
14,Adrien_Brody,0
16,Adrien_Brody,0
18,Adrien_Brody,0
20,Adrien_Brody,0
22,Adrien_Brody,0
24,Adrien_Brody,0
26,Adrien_Brody,0
28,Adrien_Brody,0
30,Adrien_Brody,0
32,Adrien_Brody,0
34,Adrien_Brody,0
36,Adrien_Brody,0
38,Adrien_Brody,0
40,Adrien_Brody,0
0,Ahmed_Chalabi,1
2,Ahmed_Chalabi,1
4,Ahmed_Chalabi,1
6,Ahmed_Chalabi,1
8,Ahmed_Chalabi,0
10,Ahmed_Chalabi,0
12,Ahmed_Chalabi,0
14,Ahmed_Chalabi,0
16,Ahmed_Chalabi,0
18,Ahmed_Chalabi,0
20,Ahmed_Chalabi,0
22,Ahmed_Chalabi,0
24,Ahmed_Chalabi,0
26,Ahmed_Chalabi,0
28,Ahmed_Chalabi,0
30,Ahmed_Chalabi,0
32,Ahmed_Chalabi,0
34,Ahmed_Chalabi,0
36,Ahmed_Chalabi,0
38,Ahmed_Chalabi,0
40,Ahmed_Chalabi,0
0,Ai_Sugiyama,0
2,Ai_Sugiyama,0
4,Ai_Sugiyama,0
6,Ai_Sugiyama,0
8,Ai_Sugiyama,0
10,Ai_Sugiyama,0
12,Ai_Sugiyama,0
14,Ai_Sugiyama,0
16,Ai_Sugiyama,0
18,Ai_Sugiyama,0
20,Ai_Sugiyama,0
22,Ai_Sugiyama,0
24,Ai_Sugiyama,0
26,Ai_Sugiyama,0
28,Ai_Sugiyama,0
30,Ai_Sugiyama,0
32,Ai_Sugiyama,0
34,Ai_Sugiyama,0
36,Ai_Sugiyama,0
38,Ai_Sugiyama,0
40,Ai_Sugiyama,0
0,Al_Gore,0
2,Al_Gore,0
4,Al_Gore,0
6,Al_Gore,0
8,Al_Gore,0
10,Al_Gore,0
12,Al_Gore,0
14,Al_Gore,0
16,Al_Gore,0
18,Al_Gore,0
20,Al_Gore,0
22,Al_Gore,0
24,Al_Gore,0
26,Al_Gore,0
28,Al_Gore,0
30,Al_Gore,0
32,Al_Gore,0
34,Al_Gore,0
36,Al_Gore,0
38,Al_Gore,0
40,Al_Gore,0
0,Al_Sharpton,0
2,Al_Sharpton,0
4,Al_Sharpton,0
6,Al_Sharpton,0
8,Al_Sharpton,0
10,Al_Sharpton,0
12,Al_Sharpton,0
14,Al_Sharpton,0
16,Al_Sharpton,0
18,Al_Sharpton,0
20,Al_Sharpton,0
22,Al_Sharpton,0
24,Al_Sharpton,0
26,Al_Sharpton,0
28,Al_Sharpton,0
30,Al_Sharpton,0
32,Al_Sharpton,0
34,Al_Sharpton,0
36,Al_Sharpton,0
38,Al_Sharpton,0
40,Al_Sharpton,0
0,Alan_Greenspan,0
2,Alan_Greenspan,0
4,Alan_Greenspan,0
6,Alan_Greenspan,0
8,Alan_Greenspan,0
10,Alan_Greenspan,0
12,Alan_Greenspan,0
14,Alan_Greenspan,0
16,Alan_Greenspan,0
18,Alan_Greenspan,0
20,Alan_Greenspan,0
22,Alan_Greenspan,0
24,Alan_Greenspan,0
26,Alan_Greenspan,0
28,Alan_Greenspan,0
30,Alan_Greenspan,0
32,Alan_Greenspan,0
34,Alan_Greenspan,0
36,Alan_Greenspan,0
38,Alan_Greenspan,0
40,Alan_Greenspan,0
0,Alastair_Campbell,0
2,Alastair_Campbell,0
4,Alastair_Campbell,0
6,Alastair_Campbell,0
8,Alastair_Campbell,0
10,Alastair_Campbell,0
12,Alastair_Campbell,0
14,Alastair_Campbell,0
16,Alastair_Campbell,0
18,Alastair_Campbell,0
20,Alastair_Campbell,0
22,Alastair_Campbell,0
24,Alastair_Campbell,0
26,Alastair_Campbell,0
28,Alastair_Campbell,0
30,Alastair_Campbell,0
32,Alastair_Campbell,0
34,Alastair_Campbell,0
36,Alastair_Campbell,0
38,Alastair_Campbell,0
40,Alastair_Campbell,0
0,Albert_Costa,0
2,Albert_Costa,0
4,Albert_Costa,0
6,Albert_Costa,0
8,Albert_Costa,0
10,Albert_Costa,0
12,Albert_Costa,0
14,Albert_Costa,0
16,Albert_Costa,0
18,Albert_Costa,0
20,Albert_Costa,0
22,Albert_Costa,0
24,Albert_Costa,0
26,Albert_Costa,0
28,Albert_Costa,0
30,Albert_Costa,0
32,Albert_Costa,0
34,Albert_Costa,0
36,Albert_Costa,0
38,Albert_Costa,0
40,Albert_Costa,0
0,Alejandro_Toledo,0
2,Alejandro_Toledo,0
4,Alejandro_Toledo,0
6,Alejandro_Toledo,0
8,Alejandro_Toledo,0
10,Alejandro_Toledo,0
12,Alejandro_Toledo,0
14,Alejandro_Toledo,0
16,Alejandro_Toledo,0
18,Alejandro_Toledo,0
20,Alejandro_Toledo,0
22,Alejandro_Toledo,0
24,Alejandro_Toledo,0
26,Alejandro_Toledo,0
28,Alejandro_Toledo,0
30,Alejandro_Toledo,0
32,Alejandro_Toledo,0
34,Alejandro_Toledo,0
36,Alejandro_Toledo,0
38,Alejandro_Toledo,0
40,Alejandro_Toledo,0
0,Ali_Naimi,1
2,Ali_Naimi,1
4,Ali_Naimi,1
6,Ali_Naimi,1
8,Ali_Naimi,1
10,Ali_Naimi,1
12,Ali_Naimi,0
14,Ali_Naimi,0
16,Ali_Naimi,0
18,Ali_Naimi,0
20,Ali_Naimi,0
22,Ali_Naimi,0
24,Ali_Naimi,0
26,Ali_Naimi,0
28,Ali_Naimi,0
30,Ali_Naimi,0
32,Ali_Naimi,0
34,Ali_Naimi,0
36,Ali_Naimi,0
38,Ali_Naimi,0
40,Ali_Naimi,0
0,Allyson_Felix,0
2,Allyson_Felix,0
4,Allyson_Felix,0
6,Allyson_Felix,0
8,Allyson_Felix,0
10,Allyson_Felix,0
12,Allyson_Felix,0
14,Allyson_Felix,0
16,Allyson_Felix,0
18,Allyson_Felix,0
20,Allyson_Felix,0
22,Allyson_Felix,0
24,Allyson_Felix,0
26,Allyson_Felix,0
28,Allyson_Felix,0
30,Allyson_Felix,0
32,Allyson_Felix,0
34,Allyson_Felix,0
36,Allyson_Felix,0
38,Allyson_Felix,0
40,Allyson_Felix,0
0,Alvaro_Uribe,0
2,Alvaro_Uribe,0
4,Alvaro_Uribe,0
6,Alvaro_Uribe,0
8,Alvaro_Uribe,0
10,Alvaro_Uribe,0
12,Alvaro_Uribe,0
14,Alvaro_Uribe,0
16,Alvaro_Uribe,0
18,Alvaro_Uribe,0
20,Alvaro_Uribe,0
22,Alvaro_Uribe,0
24,Alvaro_Uribe,0
26,Alvaro_Uribe,0
28,Alvaro_Uribe,0
30,Alvaro_Uribe,0
32,Alvaro_Uribe,0
34,Alvaro_Uribe,0
36,Alvaro_Uribe,0
38,Alvaro_Uribe,0
40,Alvaro_Uribe,0
0,Amelia_Vega,1
2,Amelia_Vega,1
4,Amelia_Vega,1
6,Amelia_Vega,0
8,Amelia_Vega,0
10,Amelia_Vega,0
12,Amelia_Vega,0
14,Amelia_Vega,0
16,Amelia_Vega,0
18,Amelia_Vega,0
20,Amelia_Vega,0
22,Amelia_Vega,0
24,Amelia_Vega,0
26,Amelia_Vega,0
28,Amelia_Vega,0
30,Amelia_Vega,0
32,Amelia_Vega,0
34,Amelia_Vega,0
36,Amelia_Vega,0
38,Amelia_Vega,0
40,Amelia_Vega,0
0,Amelie_Mauresmo,0
2,Amelie_Mauresmo,0
4,Amelie_Mauresmo,0
6,Amelie_Mauresmo,0
8,Amelie_Mauresmo,0
10,Amelie_Mauresmo,0
12,Amelie_Mauresmo,0
14,Amelie_Mauresmo,0
16,Amelie_Mauresmo,0
18,Amelie_Mauresmo,0
20,Amelie_Mauresmo,0
22,Amelie_Mauresmo,0
24,Amelie_Mauresmo,0
26,Amelie_Mauresmo,0
28,Amelie_Mauresmo,0
30,Amelie_Mauresmo,0
32,Amelie_Mauresmo,0
34,Amelie_Mauresmo,0
36,Amelie_Mauresmo,0
38,Amelie_Mauresmo,0
40,Amelie_Mauresmo,0
0,Ana_Guevara,1
2,Ana_Guevara,1
4,Ana_Guevara,1
6,Ana_Guevara,1
8,Ana_Guevara,1
10,Ana_Guevara,0
12,Ana_Guevara,0
14,Ana_Guevara,0
16,Ana_Guevara,0
18,Ana_Guevara,0
20,Ana_Guevara,0
22,Ana_Guevara,0
24,Ana_Guevara,0
26,Ana_Guevara,0
28,Ana_Guevara,0
30,Ana_Guevara,0
32,Ana_Guevara,0
34,Ana_Guevara,0
36,Ana_Guevara,0
38,Ana_Guevara,0
40,Ana_Guevara,0
0,Ana_Palacio,0
2,Ana_Palacio,0
4,Ana_Palacio,0
6,Ana_Palacio,0
8,Ana_Palacio,0
10,Ana_Palacio,0
12,Ana_Palacio,0
14,Ana_Palacio,0
16,Ana_Palacio,0
18,Ana_Palacio,0
20,Ana_Palacio,0
22,Ana_Palacio,0
24,Ana_Palacio,0
26,Ana_Palacio,0
28,Ana_Palacio,0
30,Ana_Palacio,0
32,Ana_Palacio,0
34,Ana_Palacio,0
36,Ana_Palacio,0
38,Ana_Palacio,0
40,Ana_Palacio,0
0,Andre_Agassi,1
2,Andre_Agassi,1
4,Andre_Agassi,1
6,Andre_Agassi,1
8,Andre_Agassi,1
10,Andre_Agassi,1
12,Andre_Agassi,1
14,Andre_Agassi,1
16,Andre_Agassi,0
18,Andre_Agassi,0
20,Andre_Agassi,0
22,Andre_Agassi,0
24,Andre_Agassi,0
26,Andre_Agassi,0
28,Andre_Agassi,0
30,Andre_Agassi,0
32,Andre_Agassi,0
34,Andre_Agassi,0
36,Andre_Agassi,0
38,Andre_Agassi,0
40,Andre_Agassi,0
0,Andy_Roddick,0
2,Andy_Roddick,0
4,Andy_Roddick,0
6,Andy_Roddick,0
8,Andy_Roddick,0
10,Andy_Roddick,0
12,Andy_Roddick,0
14,Andy_Roddick,0
16,Andy_Roddick,0
18,Andy_Roddick,0
20,Andy_Roddick,0
22,Andy_Roddick,0
24,Andy_Roddick,0
26,Andy_Roddick,0
28,Andy_Roddick,0
30,Andy_Roddick,0
32,Andy_Roddick,0
34,Andy_Roddick,0
36,Andy_Roddick,0
38,Andy_Roddick,0
40,Andy_Roddick,0
0,Angela_Bassett,0
2,Angela_Bassett,0
4,Angela_Bassett,0
6,Angela_Bassett,0
8,Angela_Bassett,0
10,Angela_Bassett,0
12,Angela_Bassett,0
14,Angela_Bassett,0
16,Angela_Bassett,0
18,Angela_Bassett,0
20,Angela_Bassett,0
22,Angela_Bassett,0
24,Angela_Bassett,0
26,Angela_Bassett,0
28,Angela_Bassett,0
30,Angela_Bassett,0
32,Angela_Bassett,0
34,Angela_Bassett,0
36,Angela_Bassett,0
38,Angela_Bassett,0
40,Angela_Bassett,0
0,Angela_Merkel,0
2,Angela_Merkel,0
4,Angela_Merkel,0
6,Angela_Merkel,0
8,Angela_Merkel,0
10,Angela_Merkel,0
12,Angela_Merkel,0
14,Angela_Merkel,0
16,Angela_Merkel,0
18,Angela_Merkel,0
20,Angela_Merkel,0
22,Angela_Merkel,0
24,Angela_Merkel,0
26,Angela_Merkel,0
28,Angela_Merkel,0
30,Angela_Merkel,0
32,Angela_Merkel,0
34,Angela_Merkel,0
36,Angela_Merkel,0
38,Angela_Merkel,0
40,Angela_Merkel,0
0,Angelina_Jolie,0
2,Angelina_Jolie,0
4,Angelina_Jolie,0
6,Angelina_Jolie,0
8,Angelina_Jolie,0
10,Angelina_Jolie,0
12,Angelina_Jolie,0
14,Angelina_Jolie,0
