config,person,ok,byte_errors
single,Abdullah_Gul,0,31
single,Abdullah_Gul,0,30
single,Abdullah_Gul,0,31
single,Abdullah_Gul,0,30
vote5,Abdullah_Gul,1,19
vote5,Abdullah_Gul,1,10
vote5,Abdullah_Gul,1,19
vote5,Abdullah_Gul,1,9
vote5,Abdullah_Gul,1,15
single,Adrien_Brody,0,31
single,Adrien_Brody,0,31
single,Adrien_Brody,0,30
single,Adrien_Brody,0,31
vote5,Adrien_Brody,1,19
vote5,Adrien_Brody,1,13
vote5,Adrien_Brody,1,17
vote5,Adrien_Brody,1,9
vote5,Adrien_Brody,1,14
single,Ahmed_Chalabi,1,26
single,Ahmed_Chalabi,1,24
single,Ahmed_Chalabi,0,29
single,Ahmed_Chalabi,0,29
vote5,Ahmed_Chalabi,1,15
vote5,Ahmed_Chalabi,1,8
vote5,Ahmed_Chalabi,1,6
vote5,Ahmed_Chalabi,1,15
vote5,Ahmed_Chalabi,1,17
single,Ai_Sugiyama,0,30
single,Ai_Sugiyama,0,29
single,Ai_Sugiyama,1,28
single,Ai_Sugiyama,1,28
vote5,Ai_Sugiyama,1,12
vote5,Ai_Sugiyama,1,14
vote5,Ai_Sugiyama,1,16
vote5,Ai_Sugiyama,1,21
vote5,Ai_Sugiyama,1,18
single,Al_Gore,0,31
single,Al_Gore,0,30
single,Al_Gore,0,29
single,Al_Gore,0,31
vote5,Al_Gore,1,14
vote5,Al_Gore,1,19
vote5,Al_Gore,1,6
vote5,Al_Gore,1,8
vote5,Al_Gore,1,20
single,Al_Sharpton,0,32
single,Al_Sharpton,1,28
single,Al_Sharpton,0,30
single,Al_Sharpton,1,27
vote5,Al_Sharpton,1,16
vote5,Al_Sharpton,1,19
vote5,Al_Sharpton,1,14
vote5,Al_Sharpton,1,16
vote5,Al_Sharpton,1,15
single,Alan_Greenspan,0,32
single,Alan_Greenspan,0,29
single,Alan_Greenspan,0,31
single,Alan_Greenspan,1,28
vote5,Alan_Greenspan,1,16
vote5,Alan_Greenspan,1,18
vote5,Alan_Greenspan,1,15
vote5,Alan_Greenspan,1,11
vote5,Alan_Greenspan,1,14
single,Alastair_Campbell,0,29
single,Alastair_Campbell,0,30
single,Alastair_Campbell,1,27
single,Alastair_Campbell,0,30
vote5,Alastair_Campbell,1,14
vote5,Alastair_Campbell,1,21
vote5,Alastair_Campbell,1,17
vote5,Alastair_Campbell,1,12
vote5,Alastair_Campbell,1,11
single,Albert_Costa,0,31
single,Albert_Costa,0,30
single,Albert_Costa,0,29
single,Albert_Costa,0,29
vote5,Albert_Costa,1,13
vote5,Albert_Costa,1,17
vote5,Albert_Costa,1,18
