person,step,ok,seconds
Abdullah_Gul,bio_rep,1,0.02810025
Abdullah_Gul,register,1,1.60817313
Abdullah_Gul,as_req,1,0.43453979
Abdullah_Gul,tgs,1,0.00836468
Abdullah_Gul,ap_req,1,0.00292397
Adrien_Brody,bio_rep,1,0.00693989
Adrien_Brody,register,1,1.48393083
Adrien_Brody,as_req,1,1.59971261
Adrien_Brody,tgs,1,0.03491521
Adrien_Brody,ap_req,1,0.01712704
Ahmed_Chalabi,bio_rep,1,0.03443694
Ahmed_Chalabi,register,1,1.71335173
Ahmed_Chalabi,as_req,1,0.95641232
Ahmed_Chalabi,tgs,1,0.00735641
Ahmed_Chalabi,ap_req,1,0.00283933
Ai_Sugiyama,bio_rep,1,0.00660610
Ai_Sugiyama,register,1,0.35785675
Ai_Sugiyama,as_req,1,0.32355237
Ai_Sugiyama,tgs,1,0.00921416
Ai_Sugiyama,ap_req,1,0.00255203
Al_Gore,bio_rep,1,0.00732112
Al_Gore,register,1,0.43153811
Al_Gore,as_req,1,0.38389397
Al_Gore,tgs,1,0.00905371
Al_Gore,ap_req,1,0.00325537
Al_Sharpton,bio_rep,1,0.00778341
Al_Sharpton,register,1,0.49908900
Al_Sharpton,as_req,1,0.43443942
Al_Sharpton,tgs,1,0.01138401
Al_Sharpton,ap_req,1,0.00400567
Alan_Greenspan,bio_rep,1,0.00967002
Alan_Greenspan,register,1,0.47932649
Alan_Greenspan,as_req,1,1.11246133
Alan_Greenspan,tgs,1,0.01952028
Alan_Greenspan,ap_req,1,0.00387335
Alastair_Campbell,bio_rep,1,0.00915408
Alastair_Campbell,register,1,0.33308744
Alastair_Campbell,as_req,1,0.32000899
Alastair_Campbell,tgs,1,0.00713205
Alastair_Campbell,ap_req,1,0.00359774
Albert_Costa,bio_rep,1,0.00632787
Albert_Costa,register,1,0.51495743
Albert_Costa,as_req,1,1.40775609
Albert_Costa,tgs,1,0.04790497
Albert_Costa,ap_req,1,0.01466107
Alejandro_Toledo,bio_rep,1,0.04095078
Alejandro_Toledo,register,1,1.72292209
Alejandro_Toledo,as_req,1,1.51318622
Alejandro_Toledo,tgs,1,0.02552891
Alejandro_Toledo,ap_req,1,0.00623131
Ali_Naimi,bio_rep,1,0.01789212
Ali_Naimi,register,1,0.47624660
Ali_Naimi,as_req,1,0.23611236
Ali_Naimi,tgs,1,0.00545764
Ali_Naimi,ap_req,1,0.00194693
Allyson_Felix,bio_rep,1,0.00501728
Allyson_Felix,register,1,0.23260403
Allyson_Felix,as_req,1,0.48976064
Allyson_Felix,tgs,1,0.01866746
Allyson_Felix,ap_req,1,0.00564504
Alvaro_Uribe,bio_rep,1,0.00969052
Alvaro_Uribe,register,1,0.56777835
Alvaro_Uribe,as_req,1,0.88206196
Alvaro_Uribe,tgs,1,0.06442595
Alvaro_Uribe,ap_req,1,0.02290130
Amelia_Vega,bio_rep,1,0.06495976
Amelia_Vega,register,1,0.42050028
Amelia_Vega,as_req,1,0.40733290
Amelia_Vega,tgs,1,0.01059318
Amelia_Vega,ap_req,1,0.00469732
Amelie_Mauresmo,bio_rep,1,0.00773478
Amelie_Mauresmo,register,1,0.44646192
Amelie_Mauresmo,as_req,1,0.70700741
Amelie_Mauresmo,tgs,1,0.00709915
Amelie_Mauresmo,ap_req,1,0.00302172
Ana_Guevara,bio_rep,1,0.09285784
Ana_Guevara,register,1,3.59314060
Ana_Guevara,as_req,1,3.36032677
Ana_Guevara,tgs,1,0.09864783
Ana_Guevara,ap_req,1,0.03117943
Ana_Palacio,bio_rep,1,0.06408906
Ana_Palacio,register,1,4.05668879
Ana_Palacio,as_req,1,1.79420328
Ana_Palacio,tgs,1,0.05622339
Ana_Palacio,ap_req,1,0.01962233
Andre_Agassi,bio_rep,1,0.05557680
Andre_Agassi,register,1,0.96315551
Andre_Agassi,as_req,1,2.11974192
Andre_Agassi,tgs,1,0.09471846
Andre_Agassi,ap_req,1,0.03187752
Andy_Roddick,bio_rep,1,0.09150410
Andy_Roddick,register,1,3.68311906
Andy_Roddick,as_req,1,3.73893833
Andy_Roddick,tgs,1,0.09315228
Andy_Roddick,ap_req,1,0.03164434
Angela_Bassett,bio_rep,1,0.06376195
Angela_Bassett,register,1,3.73350644
Angela_Bassett,as_req,1,0.46974206
Angela_Bassett,tgs,1,0.01173043
Angela_Bassett,ap_req,1,0.00450349
Angela_Merkel,bio_rep,1,0.00999355
Angela_Merkel,register,1,0.48268509
Angela_Merkel,as_req,1,0.46963096
Angela_Merkel,tgs,1,0.01128054
Angela_Merkel,ap_req,1,0.00424838
Angelina_Jolie,bio_rep,1,0.00919342
Angelina_Jolie,register,1,0.33789325
Angelina_Jolie,as_req,1,0.31693172
Angelina_Jolie,tgs,1,0.00663948
Angelina_Jolie,ap_req,1,0.00243640
Ann_Veneman,bio_rep,1,0.00653744
Ann_Veneman,register,1,0.31180596
Ann_Veneman,as_req,1,0.32948112
Ann_Veneman,tgs,1,0.00933218
Ann_Veneman,ap_req,1,0.00360155
Anna_Kournikova,bio_rep,1,0.00623846
Anna_Kournikova,register,1,0.30563092
Anna_Kournikova,as_req,1,0.33995366
Anna_Kournikova,tgs,1,0.00950217
Anna_Kournikova,ap_req,1,0.00311518
Antonio_Banderas,bio_rep,1,0.00612283
Antonio_Banderas,register,1,0.31617236
Antonio_Banderas,as_req,1,0.31044507
Antonio_Banderas,tgs,1,0.00659752
Antonio_Banderas,ap_req,1,0.00249481
Antonio_Palocci,bio_rep,1,0.00644040
Antonio_Palocci,register,1,0.28991699
Antonio_Palocci,as_req,1,0.32684135
Antonio_Palocci,tgs,1,0.00698161
Antonio_Palocci,ap_req,1,0.00303936
Ari_Fleischer,bio_rep,1,0.00644326
Ari_Fleischer,register,1,0.31270313
Ari_Fleischer,as_req,1,0.30184650
Ari_Fleischer,tgs,1,0.00736809
Ari_Fleischer,ap_req,1,0.00273275
Ariel_Sharon,bio_rep,1,0.00683355
Ariel_Sharon,register,1,0.31438446
Ariel_Sharon,as_req,1,0.29459143
Ariel_Sharon,tgs,1,0.00849795
Ariel_Sharon,ap_req,1,0.00264549
Arminio_Fraga,bio_rep,0,0.00778866
Arminio_Fraga,register,1,0.31830144
