group,algo,op,seconds
hash,sm3,hash,0.00076802
hash,sm3,hash,0.00067911
hash,sm3,hash,0.00405228
hash,sm3,hash,0.00052414
hash,sm3,hash,0.00051457
hash,sm3,hash,0.00050905
hash,sm3,hash,0.00052856
hash,sm3,hash,0.00052822
hash,sm3,hash,0.00070030
hash,sm3,hash,0.00053115
hash,sm3,hash,0.00053888
hash,sm3,hash,0.00058048
hash,sm3,hash,0.00062967
hash,sm3,hash,0.00079599
hash,sm3,hash,0.00069529
hash,sm3,hash,0.00068590
hash,sm3,hash,0.00086832
hash,sm3,hash,0.00067829
hash,sm3,hash,0.00063776
hash,sm3,hash,0.00063729
hash,sm3,hash,0.00065139
hash,sm3,hash,0.00072095
hash,sm3,hash,0.00082227
hash,sm3,hash,0.00066613
hash,sm3,hash,0.00066198
hash,sm3,hash,0.00066376
hash,sm3,hash,0.00081865
hash,sm3,hash,0.00068427
hash,sm3,hash,0.00066383
hash,sm3,hash,0.00083514
hash,sm3,hash,0.00086647
hash,sm3,hash,0.00078440
hash,sm3,hash,0.00076201
hash,sm3,hash,0.00081149
hash,sm3,hash,0.00065562
hash,sm3,hash,0.00067129
hash,sm3,hash,0.00076451
hash,sm3,hash,0.00088564
hash,sm3,hash,0.00085610
hash,sm3,hash,0.00087950
hash,sm3,hash,0.00084052
hash,sm3,hash,0.00072937
hash,sm3,hash,0.00053517
hash,sm3,hash,0.00050759
hash,sm3,hash,0.00051300
hash,sm3,hash,0.00051344
hash,sm3,hash,0.00051430
hash,sm3,hash,0.00050486
hash,sm3,hash,0.00066786
hash,sm3,hash,0.00084103
hash,sm3,hash,0.00075861
hash,sm3,hash,0.00066624
hash,sm3,hash,0.00066052
hash,sm3,hash,0.00079594
hash,sm3,hash,0.00084960
hash,sm3,hash,0.00066950
hash,sm3,hash,0.00066226
hash,sm3,hash,0.00066167
hash,sm3,hash,0.00084223
hash,sm3,hash,0.00080968
hash,sm3,hash,0.00090886
hash,sm3,hash,0.00080359
hash,sm3,hash,0.00067593
hash,sm3,hash,0.00073939
hash,sm3,hash,0.00084198
hash,sm3,hash,0.00070446
hash,sm3,hash,0.00066951
hash,sm3,hash,0.00080052
hash,sm3,hash,0.00078573
hash,sm3,hash,0.00074888
hash,sm3,hash,0.00068321
hash,sm3,hash,0.00083401
hash,sm3,hash,0.00080576
hash,sm3,hash,0.00073316
hash,sm3,hash,0.00087721
hash,sm3,hash,0.00065767
hash,sm3,hash,0.00082604
hash,sm3,hash,0.00065785
hash,sm3,hash,0.00065243
hash,sm3,hash,0.00066976
hash,sm3,hash,0.00068273
hash,sm3,hash,0.00090254
hash,sm3,hash,0.00087626
hash,sm3,hash,0.00070717
hash,sm3,hash,0.00065749
hash,sm3,hash,0.00066245
hash,sm3,hash,0.00068419
hash,sm3,hash,0.00066581
hash,sm3,hash,0.00073313
hash,sm3,hash,0.00085361
hash,sm3,hash,0.00087563
hash,sm3,hash,0.00071482
hash,sm3,hash,0.00064927
hash,sm3,hash,0.00067868
hash,sm3,hash,0.00081228
hash,sm3,hash,0.00068430
hash,sm3,hash,0.00066683
hash,sm3,hash,0.00087798
hash,sm3,hash,0.00067083
hash,sm3,hash,0.00066912
hash,sm3,hash,0.00066420
hash,sm3,hash,0.00074503
hash,sm3,hash,0.00081187
hash,sm3,hash,0.00069628
hash,sm3,hash,0.00065564
hash,sm3,hash,0.00067492
hash,sm3,hash,0.00064599
hash,sm3,hash,0.00054651
hash,sm3,hash,0.00052270
hash,sm3,hash,0.00052585
hash,sm3,hash,0.00066593
hash,sm3,hash,0.00083633
hash,sm3,hash,0.00085779
hash,sm3,hash,0.00088899
hash,sm3,hash,0.00090472
hash,sm3,hash,0.00091435
hash,sm3,hash,0.00087296
hash,sm3,hash,0.00078978
hash,sm3,hash,0.00054586
hash,sm3,hash,0.00052244
hash,sm3,hash,0.00053066
hash,sm3,hash,0.00050816
hash,sm3,hash,0.00050371
hash,sm3,hash,0.00050197
hash,sm3,hash,0.00052191
hash,sm3,hash,0.00099116
hash,sm3,hash,0.00085086
hash,sm3,hash,0.00076561
hash,sm3,hash,0.00065375
hash,sm3,hash,0.00052279
hash,sm3,hash,0.00049361
hash,sm3,hash,0.00048541
hash,sm3,hash,0.00047936
hash,sm3,hash,0.00048048
hash,sm3,hash,0.00048067
hash,sm3,hash,0.00049146
hash,sm3,hash,0.00047962
hash,sm3,hash,0.00047505
hash,sm3,hash,0.00047739
hash,sm3,hash,0.00047413
hash,sm3,hash,0.00047963
hash,sm3,hash,0.00047770
hash,sm3,hash,0.00048146
hash,sm3,hash,0.00047319
hash,sm3,hash,0.00047720
hash,sm3,hash,0.00045868
hash,sm3,hash,0.00046250
hash,sm3,hash,0.00045921
hash,sm3,hash,0.00045974
hash,sm3,hash,0.00046155
hash,sm3,hash,0.00046526
hash,sm3,hash,0.00046068
hash,sm3,hash,0.00045483
hash,sm3,hash,0.00045854
hash,sm3,hash,0.00046040
hash,sm3,hash,0.00046140
hash,sm3,hash,0.00045173
hash,sm3,hash,0.00045563
hash,sm3,hash,0.00047340
hash,sm3,hash,0.00046208
hash,sm3,hash,0.00045898
hash,sm3,hash,0.00045497
hash,sm3,hash,0.00046110
hash,sm3,hash,0.00044964
hash,sm3,hash,0.00045491
hash,sm3,hash,0.00045566
hash,sm3,hash,0.00046048
hash,sm3,hash,0.00045663
hash,sm3,hash,0.00046621
hash,sm3,hash,0.00045692
hash,sm3,hash,0.00046312
hash,sm3,hash,0.00045349
hash,sm3,hash,0.00045861
hash,sm3,hash,0.00045633
hash,sm3,hash,0.00045521
hash,sm3,hash,0.00046629
hash,sm3,hash,0.00046054
hash,sm3,hash,0.00045743
hash,sm3,hash,0.00045355
hash,sm3,hash,0.00046051
hash,sm3,hash,0.00046247
hash,sm3,hash,0.00046962
hash,sm3,hash,0.00046975
hash,sm3,hash,0.00046931
hash,sm3,hash,0.00045621
hash,sm3,hash,0.00046159
hash,sm3,hash,0.00046242
hash,sm3,hash,0.00047029
hash,sm3,hash,0.00046679
hash,sm3,hash,0.00046423
hash,sm3,hash,0.00047109
hash,sm3,hash,0.00047123
