group,algo,op,n,mean_ms,median_ms,p95_ms
hash,sm3,hash,200,0.63957478,0.65032750,0.87725060
hash,sha256,hash,200,0.00064146,0.00047201,0.00052900
cipher,sm4_cbc,encrypt,200,0.69438867,0.68745100,0.73516945
cipher,sm4_cbc,decrypt,200,0.50303197,0.50242550,0.52520865
cipher,aes256_cbc,encrypt,200,0.00407678,0.00387200,0.00447430
cipher,aes256_cbc,decrypt,200,0.00333526,0.00328550,0.00350901
sign,sm9,sign,200,229.31770944,193.45242100,277.31686500
sign,sm9,verify,200,408.90168521,333.98784200,686.31633500
sign,rsa2048,sign,200,0.67900350,0.61411450,0.99441120
sign,rsa2048,verify,200,0.03365799,0.02833750,0.04699775
sign,ecdsa_p256,sign,200,0.02873318,0.02731650,0.04169295
sign,ecdsa_p256,verify,200,0.07808620,0.07508500,0.09737446
sign,sm2,sign,200,40.38310690,19.12577699,201.39941705
sign,sm2,verify,200,68.34579913,34.53121550,371.50325065
key_exchange,sm9,initiator,200,42.11593690,40.21114900,79.82858750
key_exchange,ecdh_p256,exchange,200,0.07806210,0.06859500,0.10904910
#meta {"n_iter": 200, "msg_bytes": 124, "cpu": "host-cpu", "impl": "gmalg-1.1.2 / cryptography-50"}
