case_type,result,verify_authorize_ms,verify_st_ms,challenge_ms,total_ms
legal,pass,162.82320023,162.11867332,160.16101837,685.22073900
legal,pass,159.40523148,162.11390495,161.04459763,681.60415700
legal,pass,161.34595871,160.87889671,161.07940674,681.42440500
legal,pass,159.97862816,161.06200218,161.28420830,680.88672400
legal,pass,162.28485107,163.96141052,162.97316551,689.22748800
legal,pass,160.18247604,160.69173813,158.28251839,676.59729000
legal,pass,164.61992264,159.75260735,160.10785103,680.08847600
legal,pass,159.02876854,158.76841545,161.76223755,679.62434300
legal,pass,161.98205948,161.57960892,161.84759140,686.24050100
legal,pass,161.56435013,165.19618034,158.10942650,684.64303300
legal,pass,160.73322296,159.92116928,160.29238701,678.09586900
legal,pass,161.11302376,161.71145439,161.75055504,681.21862900
legal,pass,158.45441818,160.06803513,159.07144547,674.38010200
legal,pass,161.17238998,162.03904152,163.16914558,686.98311800
legal,pass,161.62824631,162.76335716,159.53612328,682.51606600
legal,pass,158.48422050,159.10053253,158.11347961,672.19295900
legal,pass,160.23230553,160.00151634,159.58905220,677.04830200
legal,pass,160.88557243,161.07368469,159.27004814,678.91974700
legal,pass,161.42106056,162.70852089,161.40174866,683.89313100
legal,pass,159.90924835,160.97807884,159.52301025,676.89186500
legal,pass,158.46276283,158.93411636,160.84790230,677.13174000
legal,pass,159.62076187,160.47525406,160.05134583,677.81572900
legal,pass,159.19542313,159.81388092,158.88738632,674.48206000
legal,pass,158.78701210,160.57848930,158.78939629,676.92210800
legal,pass,158.50138664,161.27943993,157.63902664,673.73678600
legal,pass,159.60359573,158.76555443,159.07382965,671.11809600
legal,pass,158.67996216,158.96534920,158.44154358,672.56245400
legal,pass,158.94412994,161.24677658,161.02719307,678.50888100
legal,pass,162.15896606,159.33179855,163.60473633,683.64887500
legal,pass,158.96964073,157.78064728,158.40220451,670.75314000
legal,pass,159.52682495,160.02035141,157.21225739,671.28236800
legal,pass,160.25042534,159.03472900,157.87100792,674.32105100
legal,pass,161.74483299,162.70446777,160.08996964,684.98238600
legal,pass,164.22486305,167.22750664,160.76087952,692.08101800
legal,pass,159.38162804,160.48455238,157.62352943,675.99285600
legal,pass,159.60335732,158.31899643,159.88421440,675.79503800
legal,pass,160.47549248,158.78272057,160.23778915,677.44150600
legal,pass,160.70604324,159.82055664,159.25049782,679.40423900
legal,pass,158.29634666,159.24096107,159.32774544,672.42247500
