discover_ms,topology_entries,connect_ok
0.00602700,1,1
0.00586400,2,1
0.00452900,3,1
0.00357000,4,1
0.00377500,5,1
0.00550500,6,1
0.00369900,7,1
0.00449400,8,1
0.00326400,9,1
0.00576200,10,1
0.00371000,11,1
0.00351600,12,1
0.00417700,13,1
0.00456800,14,1
0.00292900,15,1
0.00314700,16,1
0.00350800,17,1
0.00301200,18,1
0.00387200,19,1
0.00413400,20,1
0.00487400,21,1
0.00459000,22,1
0.00343900,23,1
0.00484700,24,1
0.00456100,25,1
0.00382600,26,1
0.00415500,27,1
0.00440500,28,1
0.00400300,29,1
0.00402700,30,1
#meta {"seed": 20260817, "nat_distribution": "uniform"}
