flow_type,scheme,duration_s,throughput_mbps,jitter_ms,pkt_len_entropy,pkt_len_kl,gap_entropy,redundancy_rate,p50_ms,p90_ms,n_frames
period,sm9_raw,600,0.00409600,3.27114e-13,-0.00000000,0.00000000,0.00000000,0.00000000,512.00000000,512.00000000,600
period,sm9_shaped,600,0.00409600,2.93260735,3.27821844,34.99039321,3.40770389,0.91841797,990.00000000,1345.00000000,600
period,tls_baseline,600,0.00409600,1.64064836,-0.00000000,0.00000000,4.08794680,0.00000000,533.00000000,533.00000000,600
burst,sm9_raw,600,0.23438293,307.63508493,-0.00000000,0.00000000,0.33095640,0.00000000,1448.00000000,1448.00000000,12140
burst,sm9_shaped,600,0.23438293,307.65470687,-0.00000000,0.00000000,0.33166099,0.00000000,1448.00000000,1448.00000000,12140
burst,tls_baseline,600,0.23438293,307.73130543,-0.00000000,39.86313714,0.33455440,0.00000000,1469.00000000,1469.00000000,12140
request,sm9_raw,600,0.00512000,446.92784456,1.00000000,0.00000000,0.99999950,0.00000000,320.00000000,512.00000000,1200
request,sm9_shaped,600,0.00512000,450.07246755,3.55564266,33.74900462,0.99999950,1.83893750,915.50000000,1343.00000000,1200
request,tls_baseline,600,0.00512000,446.89693620,1.00000000,0.00000000,0.99999950,0.00000000,341.00000000,533.00000000,1200
#meta {"seed": 20260817}
