env_type,env_id,device_did,collision,re_register,ok
docker,70108f13cea615f2cb081382f41c462cc9e24db962fd6e20a86231b694ea6582,didsm9:70108f13cea615f2cb081382f41c462cc9e24db962fd6e20a86231b694ea6582@didsm9:user1:aaa:1bca303d090ca009d258d0845c162c70dc66a21e711b8e1a3b1cf4ee8deb00b8,0,1,1
docker,f4dc7ac3cbacdc8eced3ccc33216c898cf320a319e374cdae7d972ea23c52128,didsm9:f4dc7ac3cbacdc8eced3ccc33216c898cf320a319e374cdae7d972ea23c52128@didsm9:user1:aaa:f7447f6927f88fd12b5c4797046cf01df91ed8dd21013e42407a9aff848e68a7,0,1,1
docker,0e0c991b31a9b9d8574488fe667d3493f6670d36ba5530988710dbacbb229b8e,didsm9:0e0c991b31a9b9d8574488fe667d3493f6670d36ba5530988710dbacbb229b8e@didsm9:user1:aaa:39774ea2081917539252bddcbc24a622773c4c306e3e1ca42803c7aad64ef725,0,1,1
docker,48b72562e06989457313f77f61bf00a1fc29dc005d22ae738c5783119d18ca2e,didsm9:48b72562e06989457313f77f61bf00a1fc29dc005d22ae738c5783119d18ca2e@didsm9:user1:aaa:e913debcd20127fd07b8b5731a508d5ad9dec020f6fa4c0e3b9058be118d59b7,0,1,1
docker,4cb8cce00e652861d6cda30ca9e27545dfe46b084b4b105a22493ce51caf6e23,didsm9:4cb8cce00e652861d6cda30ca9e27545dfe46b084b4b105a22493ce51caf6e23@didsm9:user1:aaa:31d1612f063d16ed4eae223a7dd163bd41466f8cfd000bb06d44c61390c69574,0,1,1
docker,5ab73643dd3a05495aa4d63ebc9ef5529ac802cf8629d6d4c025cb57e9a26588,didsm9:5ab73643dd3a05495aa4d63ebc9ef5529ac802cf8629d6d4c025cb57e9a26588@didsm9:user1:aaa:761bfdd3ae66a4391d8d37a5ccfd67fce2452f94291cd2ad3de72726f1076ada,0,1,1
docker,c520d898203075683110086a999c84f2b07ff054329b2e58ad37e9a60def99df,didsm9:c520d898203075683110086a999c84f2b07ff054329b2e58ad37e9a60def99df@didsm9:user1:aaa:06b1f6d436e13420ef796b0dd8c16131960e8c7c4c4e7ec41b155e98805aace3,0,1,1
docker,94d749fa18bcb141b7ae059076fae4bd737c9771a8b50f3861180b6b3cb0e2f4,didsm9:94d749fa18bcb141b7ae059076fae4bd737c9771a8b50f3861180b6b3cb0e2f4@didsm9:user1:aaa:c07438c70b1a3e5d868152055569f4befa4e8f22fbd5c4a1420665120ead84f4,0,1,1
docker,c6cff03795cff077d88baa1173e1c5be03828c1bffe99ae7ec16994df4636dd8,didsm9:c6cff03795cff077d88baa1173e1c5be03828c1bffe99ae7ec16994df4636dd8@didsm9:user1:aaa:03a54e8ea8aee8b2b76eb4eb5162da6ab64815e72ded2705d1e5b4620637259e,0,1,1
docker,7cb8b3b23923e8320c7d9333e4db6d0083af1fb96d8510bc12820faadf824e26,didsm9:7cb8b3b23923e8320c7d9333e4db6d0083af1fb96d8510bc12820faadf824e26@didsm9:user1:aaa:3a39fe6fb1f310a675351fb4d292060dab004d480e256b899eb35e33e928e3dc,0,1,1
